bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.69389,True,10653,0.99032,-9.18667,0,False,Sailfish,30,75,0.98141,0.97366,True
True,0.84957,True,10676,0.90821,-8.65913,10,False,Sailfish,30,75,0.99241,0.50180,True
True,0.67497,True,10436,0.99089,-8.09441,0,False,Sailfish,30,100,0.97969,0.98129,True
True,0.86032,True,10567,0.89520,-7.67568,10,False,Sailfish,30,100,0.98874,0.48167,True
True,0.78601,True,10519,0.97684,-10.55886,0,True,Cufflinks,10,50,0.93783,0.99464,False
True,0.80360,True,10560,0.95136,-2.56861,10,True,Cufflinks,10,50,0.95672,0.77642,False
True,0.78975,True,10592,0.97653,-7.15493,0,True,Cufflinks,10,75,0.91966,0.99546,False
True,0.80462,True,10615,0.95400,-4.76497,10,True,Cufflinks,10,75,0.94366,0.79905,False
True,0.79042,True,10526,0.97551,-8.58563,0,True,Cufflinks,10,100,0.89854,0.99538,False
True,0.80396,True,10457,0.95193,-2.31099,10,True,Cufflinks,10,100,0.92550,0.81000,False
True,0.79380,True,10519,0.98679,-18.28101,0,True,Salmon,10,50,0.94210,0.98841,False
True,0.90862,True,10560,0.84999,-14.96126,10,True,Salmon,10,50,0.98002,0.49930,False
True,0.80325,True,10592,0.98586,-18.27441,0,True,Salmon,10,75,0.92570,0.98908,False
True,0.89505,True,10615,0.87558,-14.30138,10,True,Salmon,10,75,0.97268,0.51496,False
True,0.80629,True,10526,0.98566,-16.30446,0,True,Salmon,10,100,0.90576,0.98937,False
True,0.89395,True,10457,0.86764,-15.62521,10,True,Salmon,10,100,0.96347,0.54092,False
True,0.80207,True,10519,0.98953,-22.92157,0,True,RSEM,10,50,0.94153,0.98230,False
True,0.83598,True,10560,0.95047,-16.86553,10,True,RSEM,10,50,0.97064,0.64174,False
True,0.80787,True,10592,0.98895,-22.98587,0,True,RSEM,10,75,0.92617,0.97405,False
True,0.82336,True,10615,0.95883,-16.32391,10,True,RSEM,10,75,0.95864,0.68220,False
True,0.80401,True,10526,0.98824,-22.85856,0,True,RSEM,10,100,0.90614,0.98218,False
True,0.81993,True,10457,0.95761,-16.00148,10,True,RSEM,10,100,0.94100,0.71419,False
True,0.77251,True,10519,0.98928,-17.60868,0,True,Kallisto,10,50,0.94258,0.99142,False
True,0.91165,True,10560,0.85037,-16.51246,10,True,Kallisto,10,50,0.98011,0.50307,False
True,0.78314,True,10592,0.98924,-17.18559,0,True,Kallisto,10,75,0.92532,0.99265,False
True,0.89863,True,10615,0.87559,-15.27206,10,True,Kallisto,10,75,0.97211,0.51463,False
True,0.79042,True,10526,0.98850,-15.36318,0,True,Kallisto,10,100,0.90642,0.99227,False
True,0.89624,True,10457,0.86826,-15.92136,10,True,Kallisto,10,100,0.96481,0.54369,False
True,0.80730,True,10519,0.98766,-18.83949,0,True,Express,10,50,0.93621,0.96986,False
True,0.82491,True,10560,0.94623,-8.16372,10,True,Express,10,50,0.96705,0.63269,False
True,0.81033,True,10592,0.98680,-18.13147,0,True,Express,10,75,0.92088,0.96637,False
True,0.82478,True,10615,0.95310,-9.78145,10,True,Express,10,75,0.95789,0.66020,False
True,0.81275,True,10526,0.98635,-17.55517,0,True,Express,10,100,0.90357,0.97069,False
True,0.82653,True,10457,0.95142,-11.60853,10,True,Express,10,100,0.94195,0.68041,False
True,0.80245,True,10519,0.98903,-23.96676,0,True,Sailfish,10,50,0.94144,0.99131,False
True,0.92689,True,10560,0.85194,-24.53941,10,True,Sailfish,10,50,0.97898,0.50576,False
True,0.81750,True,10592,0.98897,-24.89022,0,True,Sailfish,10,75,0.92428,0.99124,False
True,0.92445,True,10615,0.87596,-25.71691,10,True,Sailfish,10,75,0.97164,0.52395,False
True,0.80857,True,10526,0.98823,-23.09116,0,True,Sailfish,10,100,0.90576,0.99109,False
True,0.92589,True,10457,0.86911,-25.03389,10,True,Sailfish,10,100,0.96290,0.55211,False
True,0.78402,True,10603,0.97662,-6.65058,0,True,Cufflinks,10,50,0.93879,0.99513,True
True,0.79981,True,10515,0.95070,-3.10793,10,True,Cufflinks,10,50,0.95597,0.79702,True
True,0.78391,True,10542,0.97647,-6.99458,0,True,Cufflinks,10,75,0.91994,0.99548,True
True,0.80116,True,10536,0.95359,-3.85711,10,True,Cufflinks,10,75,0.94419,0.81225,True
True,0.78659,True,10543,0.97740,-9.36997,0,True,Cufflinks,10,100,0.90117,0.99613,True
True,0.81468,True,10533,0.95452,-6.42986,10,True,Cufflinks,10,100,0.93278,0.81070,True
